City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Hambantota,LK,6.1241,81.1185,78.26,81,100,13.58,moderate rain
130,Rawah,IQ,34.4816,41.9093,55.69,41,88,5.39,overcast clouds
131,Harper,LR,4.375,-7.7169,79.99,83,45,7.72,scattered clouds
132,Vila Velha,BR,-20.3297,-40.2925,80.55,87,0,14.0,light rain
133,Grand Gaube,MU,-20.0064,57.6608,75.6,78,98,3.0,overcast clouds
134,Marawi,PH,7.9986,124.2928,65.64,93,76,2.68,broken clouds
135,Atar,MR,20.5169,-13.0499,72.1,15,78,9.08,broken clouds
136,Sorland,NO,67.667,12.6934,37.6,91,93,17.56,overcast clouds
137,Pangnirtung,CA,66.1451,-65.7125,-4.99,71,66,7.56,broken clouds
138,Cape Town,ZA,-33.9258,18.4232,66.61,79,20,3.0,few clouds
139,Cabo San Lucas,MX,22.8909,-109.9124,76.3,68,20,4.61,few clouds
140,Vanavara,RU,60.34,102.2797,-38.49,99,35,3.29,scattered clouds
141,Caohe,CN,30.2297,115.4335,45.61,90,39,1.63,scattered clouds
142,Saint George,US,37.1041,-113.5841,61.27,37,1,3.0,clear sky
143,Lebu,CL,-37.6167,-73.65,57.22,63,2,9.35,clear sky
144,Tual,ID,-5.6667,132.75,84.43,72,96,10.67,overcast clouds
145,Olafsvik,IS,64.8945,-23.7142,41.94,90,98,20.96,overcast clouds
146,Manggar,ID,-2.8833,108.2667,77.99,89,94,7.96,overcast clouds
147,Nunguan,PH,7.1283,124.6891,73.08,96,61,2.39,broken clouds
148,Iberia,US,29.9502,-91.7507,62.6,42,1,8.05,clear sky
149,Odweyne,SO,9.4092,45.064,66.2,56,4,11.92,clear sky
150,Ardakan,IR,32.31,54.0175,46.78,46,0,2.24,clear sky
151,Lodja,CD,-3.4833,23.4333,70.79,95,100,0.96,overcast clouds
152,Swan River,CA,52.1058,-101.2676,22.89,80,94,2.3,overcast clouds
153,Am Timan,TD,11.0297,20.2827,79.92,24,100,4.94,overcast clouds
154,Beaupre,CA,47.0443,-70.8953,37.67,64,57,5.75,broken clouds
155,Kirando,TZ,-7.4167,30.6,74.16,82,84,5.61,light rain
156,Deputatskiy,RU,69.3,139.9,-32.39,99,98,1.25,overcast clouds
157,Palghar,IN,19.6833,72.75,78.78,61,10,4.59,clear sky
158,Ponta Do Sol,PT,32.6667,-17.1,66.0,77,53,1.7,broken clouds
159,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,17.27,light intensity shower rain
160,Torbay,CA,47.6666,-52.7314,52.68,92,90,29.93,overcast clouds
161,Xiongyue,CN,40.1774,122.1228,27.43,42,0,5.61,clear sky
162,Roma,US,43.2128,-75.4557,42.66,58,1,5.75,clear sky
163,Pueblo,US,38.2545,-104.6091,73.11,20,1,5.75,clear sky
164,College,US,64.8569,-147.8028,-8.79,69,75,0.0,light snow
165,Laharpur,IN,27.7167,80.9,55.98,58,4,3.78,clear sky
166,Sisimiut,GL,66.9395,-53.6735,15.73,88,62,9.66,broken clouds
167,Vao,NC,-22.6667,167.4833,75.79,92,100,16.55,overcast clouds
168,Sinnamary,GF,5.3833,-52.95,77.13,90,100,11.5,overcast clouds
169,Cururupu,BR,-1.8283,-44.8683,79.57,83,70,5.66,broken clouds
170,Saint-Georges,GD,12.0564,-61.7485,76.68,88,75,9.22,broken clouds
171,Sterling,US,39.0062,-77.4286,47.89,41,1,0.0,clear sky
172,Likasi,CD,-10.9814,26.7333,66.11,66,96,1.66,overcast clouds
173,Terney,RU,45.0503,136.6092,14.22,64,10,27.6,clear sky
174,Canete,CL,-37.8,-73.4,57.67,57,7,6.53,clear sky
175,Sandakan,MY,5.8402,118.1179,76.68,94,20,2.3,mist
176,Baglung,NP,28.2719,83.5898,48.88,52,15,5.41,few clouds
177,Tiarei,PF,-17.5333,-149.3333,84.22,77,74,9.22,light rain
178,Szeghalom,HU,47.0333,21.1667,36.59,96,100,12.19,overcast clouds
179,Vaini,TO,-21.2,-175.2,82.56,83,40,13.8,light rain
180,Natchez,US,31.5604,-91.4032,59.22,40,1,4.61,clear sky
181,Kirakira,SB,-10.4544,161.9205,83.3,82,96,13.94,overcast clouds
182,Wenzhou,CN,27.9994,120.6668,53.06,71,100,3.04,overcast clouds
183,Lagoa,PT,39.05,-27.9833,57.96,51,100,22.84,overcast clouds
184,Yulara,AU,-25.2406,130.9889,73.24,78,100,5.75,overcast clouds
185,Taoudenni,ML,22.6783,-3.9836,68.94,16,58,12.68,broken clouds
186,Meulaboh,ID,4.1363,96.1285,75.51,91,87,2.19,overcast clouds
187,Nushki,PK,29.5542,66.0215,44.46,26,0,1.88,clear sky
188,Aberdeen,GB,57.1437,-2.0981,52.29,90,90,23.02,overcast clouds
189,Oktyabrskoye,RU,43.0645,44.7417,30.34,92,34,4.47,scattered clouds
190,Natal,BR,-5.795,-35.2094,83.05,78,40,13.8,scattered clouds
191,Saldanha,ZA,-33.0117,17.9442,62.64,91,100,11.99,overcast clouds
192,Dunedin,NZ,-45.8742,170.5036,60.04,63,55,4.36,broken clouds
193,Giyani,ZA,-23.3025,30.7187,81.64,51,100,8.66,overcast clouds
194,Half Moon Bay,US,37.4636,-122.4286,57.11,88,90,5.01,mist
195,Coihaique,CL,-45.5752,-72.0662,55.35,58,75,5.75,broken clouds
196,Basco,PH,20.4487,121.9702,75.81,68,63,23.49,broken clouds
197,Jackson,US,42.4165,-122.8345,44.47,86,90,0.0,overcast clouds
198,Ilulissat,GL,69.2167,-51.1,19.42,68,90,9.22,overcast clouds
199,Trofors,NO,65.5333,13.4063,40.35,97,100,6.82,overcast clouds
200,Bilibino,RU,68.0546,166.4372,-35.41,96,14,4.9,few clouds
201,Marsa Matruh,EG,31.3525,27.2453,57.4,62,0,3.44,clear sky
202,Mackay,AU,-21.15,149.2,83.68,69,75,16.11,broken clouds
203,Leh,IN,34.1667,77.5833,8.87,65,93,2.24,overcast clouds
204,Colares,PT,38.7992,-9.4469,61.9,68,2,1.01,clear sky
205,Souillac,MU,-20.5167,57.5167,75.58,88,75,17.27,light intensity shower rain
206,Dwarka,IN,22.2394,68.9678,73.06,58,0,8.39,clear sky
207,Kamenka,RU,51.3223,42.7678,17.74,67,44,11.97,scattered clouds
208,Cam Ranh,VN,11.9214,109.1591,75.16,64,20,16.11,few clouds
209,Great Yarmouth,GB,52.6083,1.7305,53.94,86,100,13.13,overcast clouds
210,Nouadhibou,MR,20.931,-17.0347,66.29,65,89,16.91,overcast clouds
211,Avarua,CK,-21.2078,-159.775,73.45,94,75,5.75,heavy intensity rain
212,Dikson,RU,73.5069,80.5464,-17.21,94,95,14.67,overcast clouds
213,Sainte-Suzanne,RE,-20.9061,55.6089,79.02,78,75,20.71,broken clouds
214,Lima,PE,-12.0432,-77.0282,69.13,73,0,13.8,clear sky
215,Garwa,IN,24.1833,83.8167,52.0,60,0,1.92,clear sky
216,Chokurdakh,RU,70.6333,147.9167,-38.9,97,98,1.99,overcast clouds
217,Arlit,NE,18.7369,7.3853,70.48,8,84,7.45,broken clouds
218,Hervey Bay,AU,-25.2986,152.8535,82.04,78,43,4.0,light rain
219,Arica,CL,-18.475,-70.3042,71.15,68,0,11.5,clear sky
220,Ust-Kuyga,RU,70.0167,135.6,-39.23,100,99,2.17,overcast clouds
221,Guerrero Negro,MX,27.9769,-114.0611,67.5,45,45,9.15,scattered clouds
222,Ribeira Grande,PT,38.5167,-28.7,58.71,53,100,21.34,overcast clouds
223,Komsomolskiy,UZ,40.4272,71.7189,35.02,55,29,6.91,haze
224,Kaitangata,NZ,-46.2817,169.8464,60.93,65,71,2.93,broken clouds
225,Boende,CD,-0.2167,20.8667,72.99,93,66,1.68,broken clouds
226,Tymovskoye,RU,50.8456,142.655,17.62,96,100,4.21,light snow
227,Wakkanai,JP,45.4094,141.6739,31.28,85,100,39.59,light snow
228,Pevek,RU,69.7008,170.3133,-33.25,97,13,1.03,few clouds
229,Kungurtug,RU,50.5994,97.5228,-4.74,93,70,0.76,broken clouds
230,Boyolangu,ID,-8.1181,111.8935,76.15,90,88,3.89,overcast clouds
231,Kandrian,PG,-6.2167,149.55,78.85,89,100,5.73,overcast clouds
232,Roald,NO,62.5833,6.1333,45.34,81,40,9.22,scattered clouds
233,Hilton Head Island,US,32.2163,-80.7526,60.91,60,1,9.22,clear sky
234,Castro,BR,-24.7911,-50.0119,72.64,51,90,3.98,overcast clouds
235,Neiafu,TO,-18.65,-173.9833,81.28,83,75,2.3,broken clouds
236,Impfondo,CG,1.6381,18.0667,73.94,83,99,3.33,overcast clouds
