City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,Hals,DK,39.61,overcast clouds,56.9961,10.3081,Hals Hotel
282,Katherine,AU,82.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
283,Riohacha,CO,80.71,broken clouds,11.5444,-72.9072,Hotel Taroa
284,Isangel,VU,83.77,overcast clouds,-19.55,169.2667,Tanna Lodge
285,Slave Lake,CA,15.78,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
286,Ilhabela,BR,76.23,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
287,Algiers,DZ,42.62,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
288,Homer,US,12.07,clear sky,59.6425,-151.5483,Beluga Lake Lodge
289,Obigarm,TJ,32.85,overcast clouds,38.7173,69.7088,Гармоба
290,Baruun-Urt,MN,13.44,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
291,Sokoni,TZ,81.01,light rain,-6.4333,39.55,Ujamaa Beach Resort
292,Grafton,US,41.56,clear sky,42.207,-71.6856,The Grafton Inn
294,San Juan,AR,78.71,clear sky,-31.5375,-68.5364,Hotel Provincial
295,Bolshaya Martynovka,RU,27.21,overcast clouds,47.271,41.6679,Gostinitsa
296,Plettenberg Bay,ZA,65.68,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
297,Biak,ID,77.27,overcast clouds,-0.9131,122.8766,Penginapan Kim
298,Bethel,US,43.81,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
301,Narsaq,GL,19.62,clear sky,60.9167,-46.05,Sleep In Narsaq
302,Cap-Aux-Meules,CA,37.45,broken clouds,47.3821,-61.8597,Auberge Madeli
304,Lazi,UA,33.87,overcast clouds,48.0667,24.2333,Olenka
306,Srandakan,ID,61.74,overcast clouds,-7.9386,110.2506,Puri Brata
307,Ilorin,NG,77.36,haze,8.5,4.55,Ayala Suite Annex
309,Kutum,SD,66.2,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
310,Port Lincoln,AU,61.47,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
311,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
312,Rincon,US,61.25,few clouds,32.296,-81.2354,Days Inn Rincon
314,Pemangkat,ID,77.31,overcast clouds,1.1667,108.9667,Ramah Kost KITA
315,Camacupa,AO,63.37,overcast clouds,-12.0167,17.4833,seviremde seni
316,Panaba,MX,81.82,broken clouds,21.2833,-88.2667,Hotel California
318,Buraydah,SA,50.45,broken clouds,26.326,43.975,فندق راحة السلام
321,Cascais,PT,62.06,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
322,Vallenar,CL,75.4,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
